Qty,Value,Device,Parts,Package,Description,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PROD_ID,RS_PART_NUMBER,RS_PRICE-STOCK,SF_ID,SF_SKU,SUPPLIER,VALUE
1,GREEN,LED-GREEN0603,D1,LED-0603,Green SMD LED,,,,,,,,,,,,DIO-00821,,,,,,GREEN
10,RED,LED-RED0603,"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11",LED-0603,Red SMD LED,,,,,,,,,,,,DIO-00819,,,,,,RED
1,LP2985-33DBVT,LP2985-33DBVT,U1,SOT95P280X145-5N,150-mA LOW-NOISE LOW-DROPOUT REGULATOR WITH SHUTDOWN,,,,,,,,LP2985-33DBVT,-,43J9347,SOT-23-5,,,,,,Texas Instruments,
1,MAX811-812,MAX811-812,U14,SOT143,MAX811/MAX812 4-Pin åµP Voltage Monitors with Manual Reset Input,,,,,,,,,,,,,,,,,,
1,MICRO-SD_CARD_SOCKET,MICRO-SD_CARD_SOCKET,J11,MICRO-SD-SOCKET,microSD Socket for Transflash,,,,,,,,,,,,CONN-07820,,,PRT-00127,,,
2,MOMENTARY-SWITCH-SPST-PTH-6.0MM,MOMENTARY-SWITCH-SPST-PTH-6.0MM,"S1, S2",TACTILE_SWITCH_PTH_6.0MM,Momentary Switch (Pushbutton) - SPST,,,,,,,,,,,, SWCH-08441,,,,COM-00097,,
1,6V/2A,PPTC_HALF-AMP,F1,1206,Resettable Fuse PPTC,,,,,,,,,,,,RES-08585,,,,,,6V/0.5A
1,TMS320F28335PGFA,TMS320F28335PGFA,U11,QFP50P2600X2600X160-176N,Digital Signal Controllers,,,,,,,,TMS320F28335PGFA,1901870,11N7235,QFP-176,,,,,,TEXAS INSTRUMENTS,
3,TPD4E1B06DCKR,TPD4E1B06DCKR,"U6, U7, U8",SC70-6,,,,,,,,,,,,,,,,,,,
1,TPS60403DBVT,TPS60403DBVT,U3,SOT95P280X145-5N,Unregulated 60 mA Charge pump voltage Inverter,,,,,,,,TPS60403DBVT,8457786,77C0632,SOT-23-5,,,,,,Texas Instruments,
2,TPS73225DBVR,TPS73225DBVR,"U4, U5",SOT95P280X145-5N,,,,,,,,,,,,,,,,,,,
1,USB_B_PTH,USB_B_PTH,J2,USB-B-PTH,USB Type B Connector,,,,,,,,,,,,CONN-08278,,,PRT-00139,,,
